CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41416221,EL RANCHITO DEL AGAVE,MANHATTAN,476,9 AVENUE,10018,2129041198,Mexican,12/4/2012,Violations were cited in the following area(s).,10B,Not Critical,25,B,12/4/2012,4/25/2016,Cycle Inspection / Re-inspection
40581382,STARBUCKS,MANHATTAN,2045,BROADWAY,10023,2124961551,Caf̩/Coffee/Tea,12/24/2012,Violations were cited in the following area(s).,04N,Critical,11,A,12/24/2012,4/25/2016,Cycle Inspection / Initial Inspection
41283835,GOTTINO,MANHATTAN,52,GREENWICH AVENUE,10011,2126332590,Italian,12/28/2012,Violations were cited in the following area(s).,06D,Critical,13,A,12/28/2012,4/25/2016,Cycle Inspection / Re-inspection
40760809,EL NUEVO AMANECER RESTAURANT,MANHATTAN,117,STANTON STREET,10002,2123879115,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/24/2012,Violations were cited in the following area(s).,10F,Not Critical,5,A,10/24/2012,4/25/2016,Cycle Inspection / Initial Inspection
41305028,MADISON & VINE,MANHATTAN,299,MADISON AVENUE,10017,2128675535,American,12/12/2012,Violations were cited in the following area(s).,06D,Critical,9,A,12/12/2012,4/25/2016,Cycle Inspection / Re-inspection
41243824,LANDMARC,MANHATTAN,10,COLUMBUS CIRCLE,10019,2128236123,American,8/14/2012,Violations were cited in the following area(s).,06C,Critical,7,A,8/14/2012,4/25/2016,Cycle Inspection / Initial Inspection
40955648,CITY CENTER,MANHATTAN,130,WEST   56 STREET,10019,6468411716,American,12/5/2012,Violations were cited in the following area(s).,04H,Critical,7,A,12/5/2012,4/25/2016,Cycle Inspection / Re-inspection
41460032,BALADE,MANHATTAN,208,1 AVENUE,10009,2125296868,Mediterranean,5/7/2012,Violations were cited in the following area(s).,08A,Not Critical,13,A,5/7/2012,4/25/2016,Cycle Inspection / Re-inspection
41646166,MIKEY'S,MANHATTAN,134,LUDLOW STREET,10002,2129799211,American,8/23/2012,Violations were cited in the following area(s).,08A,Not Critical,11,A,8/23/2012,4/25/2016,Cycle Inspection / Initial Inspection
41642375,HARLEM FOOD BAR,MANHATTAN,2100,FREDERICK DOUGLASS BOULEVARD,10026,2122229570,American,10/11/2012,Violations were cited in the following area(s).,10H,Not Critical,6,A,10/11/2012,4/25/2016,Cycle Inspection / Re-inspection
41600160,STARBUCKS,MANHATTAN,11011109,AVENUE OF THE AMERICAS,10036,2123823917,Caf̩/Coffee/Tea,7/23/2012,Violations were cited in the following area(s).,10F,Not Critical,4,A,7/23/2012,4/25/2016,Cycle Inspection / Initial Inspection
41353118,BATARD,MANHATTAN,239,WEST BROADWAY,10013,2122192777,French,5/15/2012,Violations were cited in the following area(s).,10B,Not Critical,4,A,5/15/2012,4/25/2016,Cycle Inspection / Initial Inspection
40748296,RESTAURANT ANNISA,MANHATTAN,13,BARROW STREET,10014,2127416699,American,10/16/2012,Violations were cited in the following area(s).,10F,Not Critical,20,B,10/16/2012,4/25/2016,Cycle Inspection / Re-inspection
41305052,DUNKIN' DONUTS,MANHATTAN,210,WEST   50 STREET,10019,2127574617,Donuts,8/10/2012,Violations were cited in the following area(s).,09C,Not Critical,7,A,8/10/2012,4/25/2016,Cycle Inspection / Re-inspection
40685858,DEL FRISCO'S GRILLE,MANHATTAN,1221,AVENUE OF THE AMERICAS,10020,2125755129,Steak,11/29/2012,Violations were cited in the following area(s).,06C,Critical,11,A,11/29/2012,4/25/2016,Cycle Inspection / Re-inspection
41583703,BUSTERS NYC,MANHATTAN,892,AMSTERDAM AVENUE,10025,2126655045,American,9/27/2012,Violations were cited in the following area(s).,06D,Critical,7,A,9/27/2012,4/25/2016,Cycle Inspection / Initial Inspection
41288201,2ND AVENUE DELI,MANHATTAN,162,EAST 33 STREET,10016,2126899000,Jewish/Kosher,7/20/2012,Violations were cited in the following area(s).,10B,Not Critical,12,A,7/20/2012,4/25/2016,Cycle Inspection / Initial Inspection
41623532,MILLENIUM HILTON,MANHATTAN,55,CHURCH STREET,10007,2126932001,American,10/22/2012,Violations were cited in the following area(s).,09C,Not Critical,7,A,10/22/2012,4/25/2016,Cycle Inspection / Initial Inspection
41024174,CAMARADAS EL BARRIO,MANHATTAN,2241,1 AVENUE,10029,2123482703,Polynesian,9/13/2012,Violations were cited in the following area(s).,10B,Not Critical,10,A,9/13/2012,4/25/2016,Cycle Inspection / Re-inspection
41087273,CO-OP at HOTEL RIVINGTON,MANHATTAN,107,RIVINGTON STREET,10002,2124752600,American,10/25/2012,Violations were cited in the following area(s).,10F,Not Critical,12,A,10/25/2012,4/25/2016,Cycle Inspection / Initial Inspection
40399176,SONY MUSIC EMPLOYEE CAFETERIA,MANHATTAN,550,MADISON AVENUE,10022,2128338050,American,12/19/2012,Violations were cited in the following area(s).,10F,Not Critical,11,A,12/19/2012,4/25/2016,Cycle Inspection / Initial Inspection
41588604,2ND AVENUE DELI,MANHATTAN,1442,1 AVENUE,10021,2127371700,Jewish/Kosher,8/9/2012,Violations were cited in the following area(s).,08A,Not Critical,12,A,8/9/2012,4/25/2016,Cycle Inspection / Initial Inspection
40379355,MCALEER'S PUB,MANHATTAN,425,AMSTERDAM AVENUE,10024,2123627867,Irish,12/26/2012,Violations were cited in the following area(s).,04C,Critical,27,B,12/26/2012,4/25/2016,Cycle Inspection / Re-inspection
40563475,MAMOUN FALAFEL,MANHATTAN,119,MACDOUGAL STREET,10012,2126748685,Middle Eastern,7/16/2012,Violations were cited in the following area(s).,02G,Critical,10,A,7/16/2012,4/25/2016,Cycle Inspection / Re-inspection
40389114,SACCO PIZZA,MANHATTAN,819,9 AVENUE,10019,2125827765,Pizza,12/10/2012,Violations were cited in the following area(s).,10B,Not Critical,11,A,12/10/2012,4/25/2016,Cycle Inspection / Initial Inspection
41302014,SHOOLBRED'S,MANHATTAN,197,2 AVENUE,10003,2125290340,American,6/11/2012,Violations were cited in the following area(s).,04L,Critical,11,A,6/11/2012,4/25/2016,Cycle Inspection / Re-inspection
41331780,STARBUCKS,MANHATTAN,229,SEVENTH AVENUE,10011,2122558750,Caf̩/Coffee/Tea,6/5/2012,Violations were cited in the following area(s).,02G,Critical,10,A,6/5/2012,4/25/2016,Cycle Inspection / Initial Inspection
41628361,121 FULTON STREET,MANHATTAN,121,FULTON STREET,10038,6465456647,American,5/30/2012,Violations were cited in the following area(s).,06D,Critical,13,A,5/30/2012,4/25/2016,Cycle Inspection / Initial Inspection
40942073,RE SETTE,MANHATTAN,7,WEST   45 STREET,10036,2122217530,Italian,8/28/2012,Violations were cited in the following area(s).,08A,Not Critical,13,A,8/28/2012,4/25/2016,Cycle Inspection / Initial Inspection
41305588,BUNNY DELI,MANHATTAN,1522,ST NICHOLAS AVENUE,10033,2127813303,Delicatessen,6/20/2012,Violations were cited in the following area(s).,04H,Critical,25,B,6/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41630718,KRISTALBELLI,MANHATTAN,8,WEST   36 STREET,10018,2122902211,Korean,6/6/2012,Violations were cited in the following area(s).,04N,Critical,26,B,6/6/2012,4/25/2016,Pre-permit (Operational) / Re-inspection
41576311,PICCOLO CAFE,MANHATTAN,238,MADISON AVENUE,10016,2124474399,Italian,11/30/2012,Violations were cited in the following area(s).,08A,Not Critical,11,A,11/30/2012,4/25/2016,Cycle Inspection / Initial Inspection
41252382,SOTO JAPANESE RESTAURANT,MANHATTAN,357,6 AVENUE,10014,2124143088,Japanese,10/23/2012,Violations were cited in the following area(s).,08B,Not Critical,11,A,10/23/2012,4/25/2016,Cycle Inspection / Re-inspection
40380559,SUPERNOVA-NOVOTEL HOTEL,MANHATTAN,226,WEST 52 ND STREET,10019,2123150100,American,9/12/2012,Violations were cited in the following area(s).,06D,Critical,5,A,9/12/2012,4/25/2016,Cycle Inspection / Initial Inspection
41235974,JIMBOS HAMBURGER,MANHATTAN,3869,10 AVENUE,10034,2129421642,Hamburgers,10/24/2012,Violations were cited in the following area(s).,04C,Critical,9,A,10/24/2012,4/25/2016,Cycle Inspection / Initial Inspection
40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2124735239,Mexican,5/17/2012,Violations were cited in the following area(s).,02H,Critical,20,B,5/17/2012,4/25/2016,Cycle Inspection / Re-inspection
40374968,RACCOON LODGE,MANHATTAN,59,WARREN STREET,10007,2122279894,American,12/3/2012,Violations were cited in the following area(s).,06D,Critical,8,A,12/3/2012,4/25/2016,Cycle Inspection / Initial Inspection
41201169,YONG SHENG RESTAURANT,MANHATTAN,2825,8 AVENUE,10039,2128622702,Chinese,11/23/2012,Violations were cited in the following area(s).,10F,Not Critical,9,A,11/23/2012,4/25/2016,Cycle Inspection / Initial Inspection
41703720,FRESH TORTILLAS GRILL,MANHATTAN,573,2 AVENUE,10016,2122529494,Tex-Mex,12/19/2012,Violations were cited in the following area(s).,08A,Not Critical,10,A,12/19/2012,4/25/2016,Pre-permit (Operational) / Initial Inspection
41418400,JANE STREET HOTEL,MANHATTAN,113,JANE STREET,10014,2129246700,American,6/26/2012,Violations were cited in the following area(s).,10F,Not Critical,10,A,6/26/2012,4/25/2016,Cycle Inspection / Initial Inspection
41665255,MCHALE'S BAR & GRILL,MANHATTAN,251,West 51 St,10019,2129575138,Irish,7/30/2012,Violations were cited in the following area(s).,10B,Not Critical,13,A,7/30/2012,4/25/2016,Cycle Inspection / Re-inspection
41097286,THREE STAR DINER,MANHATTAN,1462,1 AVENUE,10075,2128617500,American,5/21/2012,Violations were cited in the following area(s).,02G,Critical,25,B,5/21/2012,4/25/2016,Cycle Inspection / Re-inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American,5/24/2012,Violations were cited in the following area(s).,02G,Critical,12,A,5/24/2012,4/25/2016,Cycle Inspection / Re-inspection
40751933,SIDO FALALEL & MORE,MANHATTAN,267,COLUMBUS AVE,10023,2124962803,Mediterranean,12/6/2012,Violations were cited in the following area(s).,06C,Critical,13,A,12/6/2012,4/25/2016,Cycle Inspection / Initial Inspection
41371617,ASIAN STATION BISTRO,MANHATTAN,155,EAST   52 STREET,10022,2127521142,Japanese,11/19/2012,Violations were cited in the following area(s).,10D,Not Critical,10,A,11/19/2012,4/25/2016,Cycle Inspection / Initial Inspection
41659425,ARATA JAPANESE RESTAURANT,MANHATTAN,1047,2 AVENUE,10022,2123718338,Japanese,11/23/2012,Violations were cited in the following area(s).,04L,Critical,11,A,11/23/2012,4/25/2016,Cycle Inspection / Re-inspection
41305588,BUNNY DELI,MANHATTAN,1522,ST NICHOLAS AVENUE,10033,2127813303,Delicatessen,6/20/2012,Violations were cited in the following area(s).,08A,Not Critical,25,B,6/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41595623,THI III NEW YORK,MANHATTAN,151,WEST   54 STREET,10019,2124688848,American,7/3/2012,Violations were cited in the following area(s).,10F,Not Critical,12,A,7/3/2012,4/25/2016,Cycle Inspection / Initial Inspection
41304224,Q & N FOOD,MANHATTAN,107,EAST  125 STREET,10035,2128602021,American,8/23/2012,Violations were cited in the following area(s).,10B,Not Critical,11,A,8/23/2012,4/25/2016,Cycle Inspection / Initial Inspection
41643403,DON ANTONIO RESTAURANT,MANHATTAN,309,WEST   50 STREET,10019,6467191043,Italian,10/4/2012,Violations were cited in the following area(s).,04L,Critical,11,A,10/4/2012,4/25/2016,Cycle Inspection / Re-inspection
41664642,POTBELLY SANDWICH WORKS,MANHATTAN,41,WEST   14 STREET,10011,6462894209,Sandwiches/Salads/Mixed Buffet,7/30/2012,Violations were cited in the following area(s).,02G,Critical,10,A,7/30/2012,4/25/2016,Pre-permit (Operational) / Initial Inspection
40946956,B-SIDE,MANHATTAN,204,AVENUE B,10009,2124754600,American,8/9/2012,Violations were cited in the following area(s).,10H,Not Critical,9,A,8/9/2012,4/25/2016,Cycle Inspection / Initial Inspection
41148473,DEL POSTO RISTORANTE,MANHATTAN,85,10 AVENUE,10011,2124978090,Italian,8/22/2012,Violations were cited in the following area(s).,02H,Critical,13,A,8/22/2012,4/25/2016,Cycle Inspection / Initial Inspection
41424249,PIERRE LOTI CAFE & WINE BAR,MANHATTAN,258,WEST 15 STREET,10011,2126455684,Turkish,7/13/2012,Violations were cited in the following area(s).,10F,Not Critical,22,B,7/13/2012,4/25/2016,Cycle Inspection / Re-inspection
40935628,MERMAID INN,MANHATTAN,96,2 AVENUE,10003,2126745870,Seafood,6/5/2012,Violations were cited in the following area(s).,10B,Not Critical,14,B,6/5/2012,4/25/2016,Cycle Inspection / Re-inspection
41629167,HAIR OF THE DOG,MANHATTAN,168,ORCHARD STREET,10002,2124777771,American,10/22/2012,Violations were cited in the following area(s).,04H,Critical,10,A,10/22/2012,4/25/2016,Cycle Inspection / Initial Inspection
41122841,LANDMARK TAVERN,MANHATTAN,626,11 AVENUE,10036,2122472562,Irish,8/31/2012,Violations were cited in the following area(s).,06A,Critical,10,A,8/31/2012,4/25/2016,Cycle Inspection / Initial Inspection
41121531,EMPANADA MAMA,MANHATTAN,763,9 AVENUE,10019,2126989008,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/1/2012,Violations were cited in the following area(s).,10F,Not Critical,27,B,6/1/2012,4/25/2016,Cycle Inspection / Re-inspection
41224703,ASHIYA II SUSHI,MANHATTAN,167,1 AVENUE,10003,2125053348,Japanese,6/25/2012,Violations were cited in the following area(s).,06D,Critical,15,B,6/25/2012,4/25/2016,Cycle Inspection / Re-inspection
41671873,GRK Fresh Greek,MANHATTAN,111,FULTON STREET,10038,2123852010,Greek,12/19/2012,Violations were cited in the following area(s).,02G,Critical,9,A,12/19/2012,4/25/2016,Pre-permit (Operational) / Initial Inspection
41599880,PURE FOOD,MANHATTAN,1396,MADISON AVENUE,10029,2129967500,Vegetarian,8/13/2012,Violations were cited in the following area(s).,04N,Critical,31,C,8/13/2012,4/25/2016,Cycle Inspection / Re-inspection
41414700,BABAGHANOUSH,MANHATTAN,165,CHURCH STREET,10007,2125712020,Middle Eastern,7/24/2012,Violations were cited in the following area(s).,02G,Critical,12,A,7/24/2012,4/25/2016,Cycle Inspection / Re-inspection
41518177,AU BON PAIN,MANHATTAN,525,EAST   68 STREET,10065,2127467642,American,10/19/2012,Violations were cited in the following area(s).,10F,Not Critical,9,A,10/19/2012,4/25/2016,Cycle Inspection / Initial Inspection
41279543,REAL THAI RESTAURANT,MANHATTAN,1069,1 AVENUE,10022,2127529277,Thai,12/5/2012,Violations were cited in the following area(s).,10B,Not Critical,12,A,12/5/2012,4/25/2016,Cycle Inspection / Re-inspection
41605297,DELIZIA 92,MANHATTAN,1762,2 AVENUE,10128,2129963720,Pizza/Italian,10/25/2012,Violations were cited in the following area(s).,10F,Not Critical,13,A,10/25/2012,4/25/2016,Cycle Inspection / Re-inspection
40524920,FOOD MART DELI,MANHATTAN,1321,YORK AVENUE,10021,2127378203,Delicatessen,8/30/2012,Violations were cited in the following area(s).,02B,Critical,22,B,8/30/2012,4/25/2016,Cycle Inspection / Re-inspection
40741671,NATIONS CAFE,MANHATTAN,875,1 AVENUE,10017,2123082001,American,10/24/2012,Violations were cited in the following area(s).,10B,Not Critical,8,A,10/24/2012,4/25/2016,Cycle Inspection / Initial Inspection
41360734,GEE WHIZ,MANHATTAN,295,GREENWICH STREET,10007,2126087200,American,8/14/2012,Violations were cited in the following area(s).,06E,Critical,12,A,8/14/2012,4/25/2016,Cycle Inspection / Re-inspection
41422427,FINNERTY'S,MANHATTAN,221,2 AVENUE,10003,2126772655,American,11/27/2012,Violations were cited in the following area(s).,06C,Critical,7,A,11/27/2012,4/25/2016,Cycle Inspection / Re-inspection
41583703,BUSTERS NYC,MANHATTAN,892,AMSTERDAM AVENUE,10025,2126655045,American,4/18/2012,Violations were cited in the following area(s).,08A,Not Critical,9,A,4/18/2012,4/25/2016,Cycle Inspection / Re-inspection
41067778,SALA ONE NINE,MANHATTAN,35,WEST   19 STREET,10011,2122292300,Spanish,10/12/2012,Violations were cited in the following area(s).,02A,Critical,12,A,10/12/2012,4/25/2016,Cycle Inspection / Re-inspection
41626403,LTK LITTLE THAI KITCHEN,MANHATTAN,231,EAST   53 STREET,10022,2126445353,Thai,12/20/2012,Violations were cited in the following area(s).,06C,Critical,12,A,12/20/2012,4/25/2016,Cycle Inspection / Re-inspection
40875888,CAFE ANGELIQUE,MANHATTAN,6870,BLEECKER STREET,10012,2124753500,Caf̩/Coffee/Tea,7/23/2012,Violations were cited in the following area(s).,10B,Not Critical,9,A,7/23/2012,4/25/2016,Cycle Inspection / Re-inspection
40893866,DOMINO'S,MANHATTAN,227,WEST   40 STREET,10018,2129440400,Pizza,9/18/2012,Violations were cited in the following area(s).,08A,Not Critical,11,A,9/18/2012,4/25/2016,Cycle Inspection / Re-inspection
41152727,DADDY-O,MANHATTAN,44,BEDFORD STREET,10014,2124148884,American,5/31/2012,Violations were cited in the following area(s).,10H,Not Critical,12,A,5/31/2012,4/25/2016,Cycle Inspection / Initial Inspection
41276342,STARBUCKS,MANHATTAN,1,PENN PLAZA,10119,2122791238,Caf̩/Coffee/Tea,12/14/2012,Violations were cited in the following area(s).,10F,Not Critical,9,A,12/14/2012,4/25/2016,Cycle Inspection / Initial Inspection
40393044,SCALINATELLA RESTAURANT,MANHATTAN,201,EAST   61 STREET,10065,2122078280,Italian,10/18/2012,Violations were cited in the following area(s).,10H,Not Critical,13,A,10/18/2012,4/25/2016,Cycle Inspection / Re-inspection
40948218,PEOPLE,MANHATTAN,163,ALLEN STREET,10002,2122542668,American,12/18/2012,Violations were cited in the following area(s).,06D,Critical,7,A,12/18/2012,4/25/2016,Cycle Inspection / Initial Inspection
41321731,SHALEL,MANHATTAN,65,WEST   70 STREET,10023,2128732300,Mediterranean,12/27/2012,Violations were cited in the following area(s).,06C,Critical,5,A,12/27/2012,4/25/2016,Cycle Inspection / Initial Inspection
41191348,MCDONALD'S,MANHATTAN,969,1 AVENUE,10022,2125880695,Hamburgers,7/20/2012,Violations were cited in the following area(s).,06D,Critical,7,A,7/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41141330,TOASTIES,MANHATTAN,25,JOHN STREET,10038,2125131730,American,12/10/2012,Violations were cited in the following area(s).,10F,Not Critical,11,A,12/10/2012,4/25/2016,Cycle Inspection / Re-inspection
41622578,INSOMNIA COOKIES,MANHATTAN,482,3 AVENUE,10016,2153831320,Bakery,5/25/2012,Violations were cited in the following area(s).,08A,Not Critical,11,A,5/25/2012,4/25/2016,Cycle Inspection / Initial Inspection
40730597,STIR CAFE,MANHATTAN,32,BROADWAY,10004,2124255123,American,11/15/2012,Establishment re-opened by DOHMH,10D,Not Critical,12,C,11/15/2012,4/25/2016,Cycle Inspection / Reopening Inspection
41687345,JACK DOYLES PUB & RESTAURANT,MANHATTAN,240,WEST   35 STREET,10001,2122681255,Irish,12/21/2012,Violations were cited in the following area(s).,09B,Not Critical,12,A,12/21/2012,4/25/2016,Pre-permit (Operational) / Re-inspection
41271345,JOHNNY ROCKETS,MANHATTAN,930,3 AVENUE,10022,2128130003,American,11/27/2012,Violations were cited in the following area(s).,10F,Not Critical,23,B,11/27/2012,4/25/2016,Cycle Inspection / Re-inspection
41181327,DIRTY BIRD TO-GO,MANHATTAN,204,WEST   14 STREET,10011,2126204836,Chicken,11/28/2012,Violations were cited in the following area(s).,04L,Critical,27,B,11/28/2012,4/25/2016,Cycle Inspection / Re-inspection
41458679,ALEEF COFFEE HOUSE,MANHATTAN,333,WEST   39 STREET,10018,2125642723,Caf̩/Coffee/Tea,12/17/2012,Violations were cited in the following area(s).,04H,Critical,7,A,12/17/2012,4/25/2016,Cycle Inspection / Initial Inspection
40999144,INDUS VALLEY,MANHATTAN,2636,BROADWAY,10025,2122229222,Indian,8/27/2012,Violations were cited in the following area(s).,06A,Critical,13,A,8/27/2012,4/25/2016,Cycle Inspection / Initial Inspection
41530127,COAL YARD BAR,MANHATTAN,102,1 AVENUE,10009,2126774595,American,4/27/2012,Violations were cited in the following area(s).,06D,Critical,21,B,4/27/2012,4/25/2016,Cycle Inspection / Re-inspection
41643438,BLUE BOTTLE COFFEE,MANHATTAN,1,ROCKEFELLER PLAZA,10020,2122450296,American,6/5/2012,Violations were cited in the following area(s).,02G,Critical,9,A,6/5/2012,4/25/2016,Cycle Inspection / Initial Inspection
41233598,ALACHI MASALA INDIAN RESTAURANT,MANHATTAN,488,AMSTERDAM AVENUE,10024,2128740737,Indian,10/9/2012,Violations were cited in the following area(s).,06D,Critical,8,A,10/9/2012,4/25/2016,Cycle Inspection / Re-inspection
41172672,WENG'S PALACE,MANHATTAN,304,WEST   40 STREET,10018,2128686868,Chinese,12/20/2012,Violations were cited in the following area(s).,06D,Critical,5,A,12/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41398041,21 HOME'S KITCHEN,MANHATTAN,22,EAST   21 STREET,10010,2124755049,Chinese,12/3/2012,Violations were cited in the following area(s).,04N,Critical,39,C,12/3/2012,4/25/2016,Cycle Inspection / Re-inspection
41232726,BG BAR/MEHANATA,MANHATTAN,113,LUDLOW STREET,10002,2126250981,Eastern European,8/16/2012,Violations were cited in the following area(s).,08A,Not Critical,34,C,8/16/2012,4/25/2016,Cycle Inspection / Re-inspection
40800072,SUTTON PIZZA & GYRO,MANHATTAN,1140,1 AVENUE,10065,2128385080,Pizza,12/12/2012,Violations were cited in the following area(s).,02G,Critical,13,A,12/12/2012,4/25/2016,Cycle Inspection / Re-inspection
41445110,DOS TOROS TAQUERIA,MANHATTAN,137,4 AVENUE,10003,2126777300,Mexican,4/9/2012,Violations were cited in the following area(s).,10F,Not Critical,13,A,4/9/2012,4/25/2016,Cycle Inspection / Initial Inspection
41585919,GOOGLE WATER TOWER CAFE,MANHATTAN,111,8 AVENUE,10011,2125659548,American,9/26/2012,Violations were cited in the following area(s).,10F,Not Critical,10,A,9/26/2012,4/25/2016,Cycle Inspection / Initial Inspection
41290116,PRET A MANGER,MANHATTAN,1200,AVENUE OF THE AMERICAS,10036,6465370030,Sandwiches,9/19/2012,Violations were cited in the following area(s).,10F,Not Critical,9,A,9/19/2012,4/25/2016,Cycle Inspection / Re-inspection
41531136,AUGUST WILSON THEATRE,MANHATTAN,245,WEST   52 STREET,10019,2125825472,American,10/2/2012,Violations were cited in the following area(s).,10B,Not Critical,10,A,10/2/2012,4/25/2016,Cycle Inspection / Initial Inspection
40391745,LILY'S BAR @ ROGER SMITH HOTEL,MANHATTAN,501,LEXINGTON AVENUE,10017,2127551400,American,11/27/2012,Violations were cited in the following area(s).,10F,Not Critical,12,A,11/27/2012,4/25/2016,Cycle Inspection / Re-inspection
40397624,LE MIRAGE CAFE,MANHATTAN,20,WEST   43 STREET,10036,2123541234,American,10/1/2012,Violations were cited in the following area(s).,08C,Not Critical,13,A,10/1/2012,4/25/2016,Cycle Inspection / Initial Inspection
40870509,RED STAR CHINESE RESTAURANT,MANHATTAN,2525,ADAM CLAYTON POWELL JR BOULEVARD,10039,2122819281,Chinese,12/20/2012,Violations were cited in the following area(s).,04K,Critical,52,C,12/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41322735,THE TEN BELLS,MANHATTAN,247,BROOME STREET,10002,2122284450,French,5/22/2012,Violations were cited in the following area(s).,04L,Critical,19,B,5/22/2012,4/25/2016,Cycle Inspection / Re-inspection
40928483,RICE TO RICHES,MANHATTAN,37,SPRING STREET,10012,2122740008,American,11/13/2012,Violations were cited in the following area(s).,08A,Not Critical,10,A,11/13/2012,4/25/2016,Cycle Inspection / Re-inspection
41387188,GE FINANCIAL CAFE,MANHATTAN,299,PARK AVENUE,10171,6464287041,American,8/6/2012,Violations were cited in the following area(s).,10F,Not Critical,7,A,8/6/2012,4/25/2016,Cycle Inspection / Initial Inspection
41016886,TENZAN CUISINE,MANHATTAN,285,COLUMBUS AVENUE,10023,2125807300,Japanese,9/20/2012,Violations were cited in the following area(s).,06F,Critical,25,B,9/20/2012,4/25/2016,Cycle Inspection / Re-inspection
41207574,NICA TRATTORIA,MANHATTAN,354,EAST   84 STREET,10028,2124725040,Italian,6/6/2012,Violations were cited in the following area(s).,02B,Critical,14,B,6/6/2012,4/25/2016,Cycle Inspection / Re-inspection
41561175,EAST VILLAGE THAI RESTAURANT,MANHATTAN,32,EAST    7 STREET,10003,2126734610,Thai,6/18/2012,Violations were cited in the following area(s).,10F,Not Critical,11,A,6/18/2012,4/25/2016,Cycle Inspection / Initial Inspection
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/13/2012,Violations were cited in the following area(s).,02B,Critical,13,A,11/13/2012,4/25/2016,Cycle Inspection / Re-inspection
