"Neighborhood","CUISINE","RESTAURANT","SCORE"
"East Midtown ","Italian","LUNA PIENA",5
"East Midtown ","Japanese","SUSHI YASUDA",5
"Financial District","American","MULBERRY  VINE",5
"Financial District, Seaport","Caf/Coffee/Tea","MADE FRESH DAILY",5
"Financial District, Seaport","Asian","VIETSPOT NOODLE AND SAANDWICH",5
"Gramercy ","Chicken","CITY WINGS  CAFE",5
"Gramercy ","Vietnamese/Cambodian/Malaysia","LUU'S  BAGUETTE",5
"Gramercy ","Tapas","MARCO'S RESTAURANT",5
"Gramercy ","Indian","THE ROYAL MUNKEY",5
"Greenwich Village ","Caf/Coffee/Tea","CAFFE BENE",5
"Greenwich Village ","Caf/Coffee/Tea","EVERYMAN ESPRESSO",5
"Harlem ","Bakery","GRINI'S BAKERY",5
"Inwood ","Chinese/Cuban","AMY'S RESTAURANT",5
"Korea Town ","American","CHICKEN/FRIES CONCESSION",5
"Korea Town ","American","GARDEN MARKET",5
"Korea Town ","American","HOT DOG CONCESSION",5
"Korea Town ","Hotdogs","HOT DOG CONCESSION",5
"Lower East Side ","American","BEVERLY'S",5
"Midtown ","American","SOCIETE GENERALE CAFETERIA",5
"Midtown Upper East Side ","Japanese","A ASO SUSHI",5
"Midtown Upper East Side ","American","HOTEL PIERREMAIN KITCHEN",5
"Midtown Upper East Side ","Italian","SANT AMBROEUS",5
"Murray Hill ","Mexican","OAXACA TAQUERIA MURRAY HILL",5
"Murray Hill ","Korean","THIRD FLOOR CAFE",5
"Murray Hill ","American","WOLFETONE'S IRISH PUB  KITCHEN",5
"Roosevelt Island ","Sandwiches","SUBWAY",5
"Tribeca, Soho ","Bakery","BILLY'S BAKERY",5
"Tribeca, Soho ","Italian","CAFFE PALERMO",5
"Tribeca, Soho ","Chinese","PANG HUANG RESTAURANT",5
"Upper East Side ","Donuts","DUNKIN' DONUTS",5
"Upper East Side ","American","EJ LUNCHEONETTE",5
"Upper East Side ","Chinese","MEE NOODLE SHOP  GRILL",5
"Upper West Side","Bagels/Pretzels","BROADWAY BAGEL",5
"Upper West Side","Salads","CHOP'T",5
"Village NoHo ","Bakery","Brigadeiro Bakery",5
"Village NoHo ","American","EGG SHOP",5
"Village NoHo ","American","LUXOR LOUNGE",5
"Village NoHo ","American","MACDOUGAL STREET ALE HOUSE",5
"Village NoHo ","Italian","PORTO BELLO RESTAURANT",5
"Village NoHo ","French","TARTINERY",5
"West Greenwich Village ","Asian","AMBER VILLAGE  SUSHI AND THAI",5
"West Greenwich Village ","Irish","BARROW'S PUB",5
"West Greenwich Village ","Bakery","HUDSON CAFE",5
"West Greenwich Village ","Italian","TRATTORIA SPAGHETTO",5
"West Midtown ","Chinese/Japanese","AKI SUSHI WEST",5
"West Midtown ","American","BRICKYARD GASTRO PUB",5
"West Midtown ","Other","HOWL AT THE MOON",5
"West Midtown ","Jewish/Kosher","MILK N' HONEY",5
"West Midtown ","Irish","O'REILLY'S PUB",5
"West Midtown ","American","TICK TOCK DINER",5
